"loss","learning_rate","epoch","perplexity","steps","samples"
1.2002,5e-05,0.2,3.3207810125278603,11300,90400
1.2092,5e-05,0.2,3.3508029376559665,11350,90800
1.1683,5e-05,0.2,3.2165199041852097,11400,91200
1.1969,5e-05,0.2,3.309840496965712,11450,91600
1.1612,5e-05,0.2,3.1937634937184596,11500,92000
1.186,5e-05,0.2,3.273959144176079,11550,92400
1.174,5e-05,0.2,3.234906419426039,11600,92800
1.2332,5e-05,0.2,3.4321950062004585,11650,93200
1.1695,5e-05,0.2,3.220382044891199,11700,93600
1.2491,5e-05,0.2,3.4872030619650425,11750,94000
1.1838,5e-05,0.2,3.266764351233029,11800,94400
1.169,5e-05,0.2,3.218772256349426,11850,94800
1.2457,5e-05,0.21,3.4753667047639585,11900,95200
1.1423,5e-05,0.21,3.1339682090726226,11950,95600
1.2317,5e-05,0.21,3.427050572980654,12000,96000
1.1594,5e-05,0.21,3.1880198902236843,12050,96400
1.1628,5e-05,0.21,3.198877605506829,12100,96800
1.1768,5e-05,0.21,3.2439768500773303,12150,97200
1.1283,5e-05,0.21,3.0903983547643925,12200,97600
1.2006,5e-05,0.21,3.3221095906307774,12250,98000
1.2328,5e-05,0.21,3.430822402736972,12300,98400
1.1709,5e-05,0.21,3.2248937372017545,12350,98800
1.1618,5e-05,0.21,3.195680326807112,12400,99200
1.2919,5e-05,0.22,3.6396954115433267,12450,99600
1.1983,5e-05,0.22,3.314477518819381,12500,100000
1.2143,5e-05,0.22,3.367935684005993,12550,100400
1.1775,5e-05,0.22,3.246248428832192,12600,100800
1.1485,5e-05,0.22,3.153459171516439,12650,101200
1.1353,5e-05,0.22,3.1121070349848092,12700,101600
1.2004,5e-05,0.22,3.3214452351504136,12750,102000
1.1776,5e-05,0.22,3.2465730699068582,12800,102400
1.1934,5e-05,0.22,3.298276304368488,12850,102800
1.1877,5e-05,0.22,3.2795296082741086,12900,103200
1.1601,5e-05,0.22,3.190252285393994,12950,103600
1.1647,5e-05,0.22,3.204961250589958,13000,104000
1.1983,5e-05,0.23,3.314477518819381,13050,104400
1.1733,5e-05,0.23,3.2326427772996174,13100,104800
1.1625,5e-05,0.23,3.197918086160276,13150,105200
1.1427,5e-05,0.23,3.1352220471071406,13200,105600
1.1825,5e-05,0.23,3.2625203167965116,13250,106000
1.2182,5e-05,0.23,3.381096279654079,13300,106400
1.1353,5e-05,0.23,3.1121070349848092,13350,106800
1.1796,5e-05,0.23,3.2530727135237414,13400,107200
1.1141,5e-05,0.23,3.0468248025260922,13450,107600
1.1662,5e-05,0.23,3.2097722998507163,13500,108000
1.1485,5e-05,0.23,3.153459171516439,13550,108400
1.1105,5e-05,0.24,3.0358759529909167,13600,108800
1.1906,5e-05,0.24,3.2890540479005184,13650,109200
1.1863,5e-05,0.24,3.2749414792622273,13700,109600
1.1763,5e-05,0.24,3.2423552670818228,13750,110000
1.1742,5e-05,0.24,3.235553465412366,13800,110400
1.1383,5e-05,0.24,3.121457374586413,13850,110800
1.1722,5e-05,0.24,3.229088825276557,13900,111200
1.1136,5e-05,0.24,3.0453017709144614,13950,111600
1.1681,5e-05,0.24,3.2158766645304824,14000,112000
1.1145,5e-05,0.24,3.0480437762255894,14050,112400
1.1576,5e-05,0.24,3.1822866159161425,14100,112800
1.2049,5e-05,0.24,3.3364254188428477,14150,113200
1.0982,5e-05,0.25,2.9987633889335528,14200,113600
1.1818,5e-05,0.25,3.2602373517057566,14250,114000
1.1577,5e-05,0.25,3.1826048604896973,14300,114400
1.1263,5e-05,0.25,3.0842237347331016,14350,114800
1.2137,5e-05,0.25,3.365915528702785,14400,115200
1.1415,5e-05,0.25,3.131462037107813,14450,115600
1.1021,5e-05,0.25,3.0104814014221692,14500,116000
1.1646,5e-05,0.25,3.2046407704891715,14550,116400
1.1801,5e-05,0.25,3.254699656582373,14600,116800
1.1745,5e-05,0.25,3.236524277066457,14650,117200
1.1488,5e-05,0.25,3.1544053511877483,14700,117600
1.1845,5e-05,0.25,3.2690518868229415,14750,118000
1.154,5e-05,0.26,3.1708509805929093,14800,118400
1.1149,5e-05,0.26,3.0492632376120974,14850,118800
1.1517,5e-05,0.26,3.1635664038121276,14900,119200
1.1507,5e-05,0.26,3.1604044186643883,14950,119600
1.1213,5e-05,0.26,3.068841104681697,15000,120000
1.1059,5e-05,0.26,3.021942993981323,15050,120400
1.1741,5e-05,0.26,3.235229926243053,15100,120800
1.1081,5e-05,0.26,3.0285985870360195,15150,121200
1.0991,5e-05,0.26,3.001463490847197,15200,121600
1.1069,5e-05,0.26,3.0249664484505843,15250,122000
1.1241,5e-05,0.26,3.077445900867667,15300,122400
1.1252,5e-05,0.27,3.080832953896259,15350,122800
1.0855,5e-05,0.27,2.960919908640501,15400,123200
1.1318,5e-05,0.27,3.1012336997987986,15450,123600
1.1651,5e-05,0.27,3.206243491521284,15500,124000
1.1056,5e-05,0.27,3.021036547056965,15550,124400
1.1524,5e-05,0.27,3.165781675549448,15600,124800
1.0932,5e-05,0.27,2.9838069941350236,15650,125200
1.0862,5e-05,0.27,2.962993278171223,15700,125600
1.116,5e-05,0.27,3.052619272654344,15750,126000
1.1458,5e-05,0.27,3.1449563157740807,15800,126400
1.1252,5e-05,0.27,3.080832953896259,15850,126800
1.1066,5e-05,0.27,3.024059094625928,15900,127200
1.1682,5e-05,0.28,3.216198268276855,15950,127600
1.1058,5e-05,0.28,3.0216408147911356,16000,128000
1.0882,5e-05,0.28,2.9689251946667556,16050,128400
